descriptor,sequence,geom_noise,ima,imb,ap,auc,sr
DOAP-HP-ST-LM-a,i_ajuntament,hard,0,4,0.120191913937767,0.119919243333708,0.212192262602579
DOAP-HP-ST-LM-a,i_ajuntament,hard,0,5,0.1068976033862,0.106470545436692,0.207502930832356
DOAP-HP-ST-LM-a,i_resort,hard,0,1,0.876756508899632,0.876736859866858,0.901902497027348
DOAP-HP-ST-LM-a,i_resort,hard,0,2,0.964248217275205,0.96423346547054,0.974435196195006
DOAP-HP-ST-LM-a,i_resort,hard,0,3,0.959307991586552,0.95930206199481,0.969678953626635
DOAP-HP-ST-LM-a,i_resort,hard,0,4,0.846678684773907,0.846638473281208,0.870392390011891
DOAP-HP-ST-LM-a,i_resort,hard,0,5,0.902617593782586,0.90260891120408,0.919143876337693
DOAP-HP-ST-LM-a,i_table,hard,0,1,0.731327652294627,0.731303819906478,0.776
DOAP-HP-ST-LM-a,i_table,hard,0,2,0.642021018328333,0.641925578106586,0.7155
DOAP-HP-ST-LM-a,i_table,hard,0,3,0.528228898238182,0.528164463688436,0.619
DOAP-HP-ST-LM-a,i_table,hard,0,4,0.467689649574167,0.467457834755372,0.5675
DOAP-HP-ST-LM-a,i_table,hard,0,5,0.857710568627694,0.857699179116197,0.8775
DOAP-HP-ST-LM-a,i_troulos,hard,0,1,0.828086866560982,0.827878589296478,0.865771812080537
DOAP-HP-ST-LM-a,i_troulos,hard,0,2,0.517580487097739,0.517088522515441,0.610738255033557
DOAP-HP-ST-LM-a,i_troulos,hard,0,3,0.938052673875064,0.938005300490257,0.953020134228188
DOAP-HP-ST-LM-a,i_troulos,hard,0,4,0.725396154225729,0.725045401065896,0.785234899328859
DOAP-HP-ST-LM-a,i_troulos,hard,0,5,0.787026195565916,0.786856531406158,0.828859060402685
DOAP-HP-ST-LM-a,i_bologna,hard,0,1,0.924372314648514,0.924300235358048,0.947826086956522
DOAP-HP-ST-LM-a,i_bologna,hard,0,2,0.872265368881995,0.872208156115883,0.892753623188406
DOAP-HP-ST-LM-a,i_bologna,hard,0,3,0.86188360092476,0.86179055920942,0.88695652173913
DOAP-HP-ST-LM-a,i_bologna,hard,0,4,0.837113081590303,0.837010965633738,0.872463768115942
